,Unnamed: 0,name,struct,addr,lat,lon
8774,8774,"НОУ ""Ломоносовская школа""",(Негосударственное образовательное учреждение),"127238, Москва, Западный округ,  Дмитровское шоссе, д. 46 к.1
Аминьевское шоссе, д.18, корп.4",55.8439639,37.5697285
8775,8775,Начальная школа - детский сад № 1872,(Государственное образовательное учреждение),"127422, Москва, Северный округ,  Костякова улица, 2/6,стр.1",55.80975,37.57466
8776,8776,Средняя общеобразовательная школа № 14,(Государственное образовательное учреждение),"119602, Москва, Западный округ,  Академика Анохина улица, 32",55.66217,37.46618
8777,8777,Средняя общеобразовательная школа № 207,(Государственное образовательное учреждение),"127206, Москва, Северный округ,  Астрадамский проезд, 5",55.81268,37.56039
8778,8778,Центр образования № 1454,(Государственное образовательное учреждение),"127422, Москва, Северный округ,  Тимирязевская улица, 14а,стр.1",55.81338,37.56894
8779,8779,Центр образования № 1485,(Государственное образовательное учреждение),"119571, Москва, Западный округ,  Вернадского проспект, 127, к.2",55.65334,37.48313
8780,8780,Средняя общеобразовательная школа № 875,(Государственное образовательное учреждение),"119526, Москва, Западный округ,  Вернадского проспект, 101, к.5",55.66434,37.49161
8781,8781,"Средняя общеобразовательная школа ""Школа здоровья"" № 812",(Государственное образовательное учреждение),"119602, Москва, Западный округ,  Мичуринский проспект, Олимпийская деревня, 24",55.68757495,37.48545815000001
8782,8782,Гимназия № 1515,(Государственное образовательное учреждение),"123154, Москва, Северо-Западный округ,  Народного Ополчения улица, 27/2",55.78051,37.47729
8783,8783,Гимназия № 1517,(Государственное образовательное учреждение),"123103, Москва, Северо-Западный округ,  Живописная улица, 11, к.1",55.78506,37.45319
8784,8784,Средняя общеобразовательная школа № 143,(Государственное образовательное учреждение),"123103, Москва, Северо-Западный округ,  Живописная улица, 2-2",55.78058,37.45564
8785,8785,Средняя общеобразовательная школа № 73,(Государственное образовательное учреждение),"121108, Москва, Западный округ,  Кастанаевская улица, 43, стр.1",55.7328,37.46746
8786,8786,Средняя общеобразовательная школа № 597,(Государственное образовательное учреждение),"125502, Москва, Северный округ,  Петрозаводская улица, 19А",55.86612,37.48995
8787,8787,Средняя общеобразовательная школа № 1112,(Государственное образовательное учреждение),"125502, Москва, Северный округ,  Фестивальная улица, 69",55.86241,37.50332
8788,8788,Негосударственное образовательное учреждение Православная классическая гимназия при Церкви Иконы Божьей Матери “Знамение” Ховрино,(Негосударственное образовательное учреждение),"Москва, Северный округ, Ляпидевского улица, д.10-а",55.85762,37.49968
8789,8789,Средняя общеобразовательная школа с углубленным изучением английского языка № 1338,(Государственное образовательное учреждение),"125414, Москва, Северный округ,  Клинская улица, 20",55.86961,37.49205
8790,8790,Средняя общеобразовательная школа № 425,(Государственное образовательное учреждение),"125475, Москва, Северный округ,  Клинская улица, 24",55.87187,37.49007
8791,8791,Средняя общеобразовательная школа с углубленным изучением французского языка № 1267,(Государственное образовательное учреждение),"117465, Москва, Юго-Западный округ,  Теплый Стан улица, д.13, к.4",55.62018,37.49245
8792,8792,Cредняя общеобразовательная школа № 1101,(Государственное образовательное учреждение),"117133, Москва, Юго-Западный округ,  Академика Варги улица, 34",55.63338,37.47782
8793,8793,Средняя общеобразовательная школа № 931 с педагогическими классами,(Государственное образовательное учреждение),"117465, Москва, Юго-Западный округ,  Генерала Тюленева улица, 19 корп. 5",55.62116,37.48477
8794,8794,Средняя общеобразовательная школа № 930,(Государственное образовательное учреждение),"117321, Москва, Юго-Западный округ,  Островитянова улица, 18, к.5",55.63286,37.50949
8795,8795,Средняя общеобразовательная школа № 126,(Государственное образовательное учреждение),"117133, Москва, Юго-Западный округ,  Академика Варги улица, 32",55.63327,37.47622
8796,8796,Гимназия № 1532,(Государственное образовательное учреждение),"117465, Москва, Юго-Западный округ,  Теплый Стан улица, 13 корп. 3",55.62244,37.49111
8797,8797,"Средняя общеобразовательная школа ""Школа здоровья"" № 48",(Государственное образовательное учреждение),"117133, Москва, Юго-Западный округ,  Теплый Стан улица, 25-А",55.62841,37.48169
8798,8798,Центр образования № 109,(Государственное образовательное учреждение),"117513, Москва, Юго-Западный округ,  Ленинский проспект, 131 к.4; 117513 Академика Бакулева улица, 20 
 117513 Ленинский проспект, 137 к.3; 117513 Ленинский проспект, 137 стр. Б",55.6419845,37.4759302
8799,8799,Средняя общеобразовательная школа № 179,(Ведомственное образовательное учреждение),"125009, Москва, Центральный округ,  Большая Дмитровская улица, д. 5/6, стр.7",55.8079686,37.5891964
8800,8800,Средняя общеобразовательная школа с углубленным изучением английского языка № 1278,(Государственное образовательное учреждение),"107031, Москва, Центральный округ,  Петровка улица, 23/10, стр. 18, 21",55.76472,37.61445
8801,8801,Центр образования № 175,(Государственное образовательное учреждение),"103006, Москва, Центральный округ,  Старопименовский переулок, 5",55.7693,37.60051
8802,8802,Средняя общеобразовательная школа № 128,(Государственное образовательное учреждение),"125047, Москва, Центральный округ,  2-я Тверская Ямская улица, 46",55.77456,37.59055
8803,8803,Гимназия № 1540,(Государственное образовательное учреждение),"103055, Москва, Центральный округ,  Новослободская улица, 57, стр.1",55.78682,37.59226
