"Name";"Diameter";"TypeExit";"OnTerritoryOfMoscow";"AdmArea";"District";"Latitude_WGS84";"Longitude_WGS84";"NameMetroExit";"ObjectStatus";"global_id";"geoData";"geodata_center";
"Наименование прохода станции МЦД";"Станция МЦД";"Тип прохода";"На территории Москвы";"Административный округ";"Район";"Широта прохода в WGS-84";"Долгота прохода в WGS-84";"Ближайшие входы и выходы вестибюлей Московского метрополитена";"Статус объекта";"global_id";"geoData";"geodata_center";
"Москворечье (проход 1)";"nested data";"Вход-выход";"да";"Южный административный округ";"район Москворечье-Сабурово";"55.640088";"37.688197";"";"действует";"1059340722";"{coordinates=[37.688197, 55.640088], type=Point}";"";
"Москворечье (проход 2)";"nested data";"Вход-выход";"да";"Южный административный округ";"район Москворечье-Сабурово";"55.639823";"37.689302";"";"действует";"1059340723";"{coordinates=[37.689302, 55.639823], type=Point}";"";
"Курьяново (проход 1)";"nested data";"Вход-выход";"да";"Юго-Восточный административный округ";"район Марьино";"55.649326";"37.702632";"";"действует";"1059340724";"{coordinates=[37.702632, 55.649326], type=Point}";"";
"Курьяново (проход 2)";"nested data";"Вход-выход";"да";"Юго-Восточный административный округ";"район Печатники";"55.650014";"37.701059";"";"действует";"1059340725";"{coordinates=[37.701059, 55.650014], type=Point}";"";
"Перерва (проход 1)";"nested data";"Вход-выход";"да";"Юго-Восточный административный округ";"район Печатники";"55.659853";"37.714613";"";"действует";"1059340726";"{coordinates=[37.714613, 55.659853], type=Point}";"";
"Перерва (проход 2)";"nested data";"Вход-выход";"да";"Юго-Восточный административный округ";"район Печатники";"55.662117";"37.716177";"";"действует";"1059340727";"{coordinates=[37.716177, 55.662117], type=Point}";"";
"Перерва (проход 3)";"nested data";"Вход-выход";"да";"Юго-Восточный административный округ";"район Люблино";"55.660873";"37.719879";"";"действует";"1059340728";"{coordinates=[37.719879, 55.660873], type=Point}";"";
"Депо (проход 1)";"nested data";"Вход-выход";"да";"Юго-Восточный административный округ";"район Печатники";"55.674865";"37.727635";"";"действует";"1059340729";"{coordinates=[37.727635, 55.674865], type=Point}";"";
"Депо (проход 2)";"nested data";"Вход-выход";"да";"Юго-Восточный административный округ";"район Люблино";"55.674222";"37.730959";"";"действует";"1059340730";"{coordinates=[37.730959, 55.674222], type=Point}";"";
"Депо (проход 3)";"nested data";"Вход-выход";"да";"Юго-Восточный административный округ";"район Люблино";"55.674291";"37.732568";"";"действует";"1059340732";"{coordinates=[37.732568, 55.674291], type=Point}";"";
"Депо (проход 4)";"nested data";"Вход-выход";"да";"Юго-Восточный административный округ";"район Люблино";"55.673785";"37.732397";"";"действует";"1059340733";"{coordinates=[37.732397, 55.673785], type=Point}";"";
"Люблино (проход 1)";"nested data";"Вход-выход";"да";"Юго-Восточный административный округ";"район Печатники";"55.685164";"37.733471";"";"действует";"1059340735";"{coordinates=[37.733471, 55.685164], type=Point}";"";
"Люблино (проход 2)";"nested data";"Вход-выход";"да";"Юго-Восточный административный округ";"район Печатники";"55.684920";"37.733306";"";"действует";"1059340736";"{coordinates=[37.733306, 55.68492], type=Point}";"";
"Люблино (проход 3)";"nested data";"Вход-выход";"да";"Юго-Восточный административный округ";"район Люблино";"55.684952";"37.734733";"";"действует";"1059340737";"{coordinates=[37.734733, 55.684952], type=Point}";"";
"Люблино (проход 4)";"nested data";"Вход-выход";"да";"Юго-Восточный административный округ";"район Люблино";"55.684790";"37.734633";"";"действует";"1059340738";"{coordinates=[37.734633, 55.68479], type=Point}";"";
"Текстильщики (проход 1)";"nested data";"Вход-выход";"да";"Юго-Восточный административный округ";"район Текстильщики";"55.708583";"37.729568";"";"действует";"1059340739";"{coordinates=[37.729568, 55.708583], type=Point}";"";
"Текстильщики (проход 2)";"nested data";"Вход-выход";"да";"Юго-Восточный административный округ";"район Печатники";"55.708551";"37.729297";"";"действует";"1059340740";"{coordinates=[37.729297, 55.708551], type=Point}";"";
"Текстильщики (проход 7)";"nested data";"Вход-выход";"да";"Юго-Восточный административный округ";"район Текстильщики";"55.707064";"37.729901";"";"действует";"1059340741";"{coordinates=[37.729901, 55.707064], type=Point}";"";
"Новохохловская (проход 1)";"nested data";"Вход-выход";"да";"Юго-Восточный административный округ";"Нижегородский район";"55.724113";"37.715289";"";"действует";"1059340742";"{coordinates=[37.715289, 55.724113], type=Point}";"";
"Калитники (проход 1) (А)";"nested data";"Вход-выход";"да";"Юго-Восточный административный округ";"Нижегородский район";"55.734102";"37.701882";"";"действует";"1059340743";"{coordinates=[37.701882, 55.734102], type=Point}";"";
"Калитники (проход 2) (А)";"nested data";"Вход-выход";"да";"Юго-Восточный административный округ";"Нижегородский район";"55.734231";"37.702175";"";"действует";"1059340744";"{coordinates=[37.702175, 55.734231], type=Point}";"";
"Калитники (проход 3)";"nested data";"Вход-выход";"да";"Юго-Восточный административный округ";"Нижегородский район";"55.733797";"37.702634";"";"действует";"1059340745";"{coordinates=[37.702634, 55.733797], type=Point}";"";
"Москва-Товарная (проход 1)";"nested data";"Вход-выход";"да";"Центральный административный округ";"Таганский район";"55.744981";"37.687382";"";"действует";"1059340748";"{coordinates=[37.687382, 55.744981], type=Point}";"";
"Москва-Товарная (проход 2)";"nested data";"Вход-выход";"да";"Юго-Восточный административный округ";"район Лефортово";"55.746254";"37.688943";"";"действует";"1059340749";"{coordinates=[37.688943, 55.746254], type=Point}";"";
"Площадь трёх вокзалов (проход 1)";"nested data";"Вход-выход";"да";"Центральный административный округ";"Красносельский район";"55.775071";"37.652816";"";"действует";"1059340753";"{coordinates=[37.652816, 55.775071], type=Point}";"";
"Рижская (проход 1)";"nested data";"Вход-выход";"да";"Центральный административный округ";"Мещанский район";"55.793415";"37.638764";"";"действует";"1059340755";"{coordinates=[37.638764, 55.793415], type=Point}";"";
"Дмитровская (проход 5)";"nested data";"Вход-выход";"да";"Северный административный округ";"Савёловский район";"55.808049";"37.579809";"";"действует";"1059340760";"{coordinates=[37.579809, 55.808049], type=Point}";"";
"Гражданская (проход 1)";"nested data";"Вход-выход";"да";"Северный административный округ";"Тимирязевский район";"55.806229";"37.551330";"";"действует";"1059340761";"{coordinates=[37.55133, 55.806229], type=Point}";"";
"Гражданская (проход 2)";"nested data";"Вход-выход";"да";"Северный административный округ";"Савёловский район";"55.806083";"37.551343";"";"действует";"1059340762";"{coordinates=[37.551343, 55.806083], type=Point}";"";
